56.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DB,FINEST;NBA,FINE;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,FINEST;WORKFLOW,FINER
05:52:02.0 (4194228)|VARIABLE_SCOPE_BEGIN|[482]|CARES_AppConstants.ACCOUNT|String|false|true
05:52:02.0 (4201792)|VARIABLE_SCOPE_BEGIN|[751]|CARES_AppConstants.ACCOUNT_SUCCESS|String|false|true
05:52:02.0 (4213788)|VARIABLE_SCOPE_BEGIN|[1689]|CARES_AppConstants.ACCREDITATION|String|false|true
05:52:02.0 (4222117)|VARIABLE_SCOPE_BEGIN|[483]|CARES_AppConstants.ACRELATION|String|false|true
05:52:02.0 (4230295)|VARIABLE_SCOPE_BEGIN|[2089]|CARES_AppConstants.ACTION_PLAN_OBJECT|String|false|true
05:52:02.0 (4238441)|VARIABLE_SCOPE_BEGIN|[2090]|CARES_AppConstants.ACTION_PLAN_SERVICE_CLASS|String|false|true
05:52:02.0 (4250895)|VARIABLE_SCOPE_BEGIN|[575]|CARES_AppConstants.ACTION_SUCCESS|String|false|true
05:52:02.0 (4258772)|VARIABLE_SCOPE_BEGIN|[2082]|CARES_AppConstants.ACTIVE_APPROVED|String|false|true
05:52:02.0 (4266652)|VARIABLE_SCOPE_BEGIN|[2340]|CARES_AppConstants.ACTIVE_OFFICE_MEMBERS_ERROR|String|false|true
05:52:02.0 (4274776)|VARIABLE_SCOPE_BEGIN|[2083]|CARES_AppConstants.ACTIVE_PENDING|String|false|true
05:52:02.0 (4286753)|VARIABLE_SCOPE_BEGIN|[2084]|CARES_AppConstants.ACTIVE_SERVED|String|false|true
05:52:02.0 (4294884)|VARIABLE_SCOPE_BEGIN|[2338]|CARES_AppConstants.ACTIVE_UNIT_AND_OFFICE_MEMBERS_ERROR|String|false|true
05:52:02.0 (4303357)|VARIABLE_SCOPE_BEGIN|[2339]|CARES_AppConstants.ACTIVE_UNIT_ERROR|String|false|true
05:52:02.0 (4317449)|VARIABLE_SCOPE_BEGIN|[303]|CARES_AppConstants.ADDENDUM_OBJECT_API_NAME|String|false|true
05:52:02.0 (4326553)|VARIABLE_SCOPE_BEGIN|[1342]|CARES_AppConstants.ADDITIONAL_INFORMATION|String|false|true
05:52:02.0 (4336589)|VARIABLE_SCOPE_BEGIN|[1196]|CARES_AppConstants.ADDRESSS|String|false|true
05:52:02.0 (4345336)|VARIABLE_SCOPE_BEGIN|[1552]|CARES_AppConstants.ADDRESS_1|String|false|true
05:52:02.0 (4358605)|VARIABLE_SCOPE_BEGIN|[1553]|CARES_AppConstants.ADDRESS_2|String|false|true
05:52:02.0 (4367732)|VARIABLE_SCOPE_BEGIN|[605]|CARES_AppConstants.ADDRESS_LINE_1|String|false|true
05:52:02.0 (4376767)|VARIABLE_SCOPE_BEGIN|[606]|CARES_AppConstants.ADDRESS_LINE_1_CHANGE|String|false|true
05:52:02.0 (4385554)|VARIABLE_SCOPE_BEGIN|[302]|CARES_AppConstants.ADDRESS_OBJECT_API_NAME|String|false|true
05:52:02.0 (4398949)|VARIABLE_SCOPE_BEGIN|[1789]|CARES_AppConstants.ADDRESS_SEARCH_TEST_VAR1|String|false|true
05:52:02.0 (4407947)|VARIABLE_SCOPE_BEGIN|[1790]|CARES_AppConstants.ADDRESS_SEARCH_TEST_VAR2|String|false|true
05:52:02.0 (4416992)|VARIABLE_SCOPE_BEGIN|[1496]|CARES_AppConstants.ADDRESS_TYPE_ERROR|String|false|true
05:52:02.0 (4426125)|VARIABLE_SCOPE_BEGIN|[1570]|CARES_AppConstants.ADDRESS_TYPE_PICKLIST_FIELD_VALUE_ADMINISTRATIVE|String|false|true
05:52:02.0 (4438778)|VARIABLE_SCOPE_BEGIN|[1558]|CARES_AppConstants.ADDR_SALESFORCE_ID|String|false|true
05:52:02.0 (4447643)|VARIABLE_SCOPE_BEGIN|[1556]|CARES_AppConstants.ADDR_TYPE|String|false|true
05:52:02.0 (4455644)|VARIABLE_SCOPE_BEGIN|[367]|CARES_AppConstants.ADD_CITY|String|false|true
05:52:02.0 (4464239)|VARIABLE_SCOPE_BEGIN|[838]|CARES_AppConstants.ADD_COUNTRY|String|false|true
05:52:02.0 (4476386)|VARIABLE_SCOPE_BEGIN|[365]|CARES_AppConstants.ADD_NAME|String|false|true
05:52:02.0 (4484519)|VARIABLE_SCOPE_BEGIN|[1000]|CARES_AppConstants.ADD_SECONDARY_WORKER|String|false|true
05:52:02.0 (4492595)|VARIABLE_SCOPE_BEGIN|[368]|CARES_AppConstants.ADD_STATE|String|false|true
05:52:02.0 (4504841)|VARIABLE_SCOPE_BEGIN|[366]|CARES_AppConstants.ADD_STREETNAME|String|false|true
05:52:02.0 (4513079)|VARIABLE_SCOPE_BEGIN|[842]|CARES_AppConstants.ADD_STREET_NAME|String|false|true
05:52:02.0 (4521678)|VARIABLE_SCOPE_BEGIN|[841]|CARES_AppConstants.ADD_STREET_NUMBER|String|false|true
05:52:02.0 (4530148)|VARIABLE_SCOPE_BEGIN|[1195]|CARES_AppConstants.ADD_TYPE|String|false|true
05:52:02.0 (4542233)|VARIABLE_SCOPE_BEGIN|[840]|CARES_AppConstants.ADD_UNIT_NUMBER|String|false|true
05:52:02.0 (4550640)|VARIABLE_SCOPE_BEGIN|[839]|CARES_AppConstants.ADD_UNIT_TYPE|String|false|true
05:52:02.0 (4559542)|VARIABLE_SCOPE_BEGIN|[369]|CARES_AppConstants.ADD_ZIPCODE|String|false|true
05:52:02.0 (4569092)|VARIABLE_SCOPE_BEGIN|[435]|CARES_AppConstants.ADMINISTRATIVE_HEARING|String|false|true
05:52:02.0 (4582088)|VARIABLE_SCOPE_BEGIN|[479]|CARES_AppConstants.ADMIN_NOTES|String|false|true
05:52:02.0 (4591368)|VARIABLE_SCOPE_BEGIN|[518]|CARES_AppConstants.ADM_IDM_MODULE|String|false|true
05:52:02.0 (4600959)|VARIABLE_SCOPE_BEGIN|[1762]|CARES_AppConstants.AFDC_ALLOWABLE_OMNI|String|false|true
05:52:02.0 (4630767)|VARIABLE_SCOPE_BEGIN|[1739]|CARES_AppConstants.AFDC_ALLOWABLE_SOLR|String|false|true
05:52:02.0 (4644841)|VARIABLE_SCOPE_BEGIN|[1384]|CARES_AppConstants.AGENCY_VALUE|String|false|true
05:52:02.0 (4653602)|VARIABLE_SCOPE_BEGIN|[1750]|CARES_AppConstants.AGE_RANGE_SOLR|String|false|true
05:52:02.0 (4662692)|VARIABLE_SCOPE_BEGIN|[2254]|CARES_AppConstants.AIDCODE_OBJECT|String|false|true
05:52:02.0 (4675712)|VARIABLE_SCOPE_BEGIN|[304]|CARES_AppConstants.AKA_OBJECT_API_NAME|String|false|true
05:52:02.0 (4685096)|VARIABLE_SCOPE_BEGIN|[1899]|CARES_AppConstants.ALAMEDA_COUNTY_VALUE|String|false|true
05:52:02.0 (4694171)|VARIABLE_SCOPE_BEGIN|[2504]|CARES_AppConstants.ALCOHOL|String|false|true
05:52:02.0 (4703619)|VARIABLE_SCOPE_BEGIN|[2486]|CARES_AppConstants.ALCOHOL_SUBSTANCE_RECORD_TYPE|String|false|true
05:52:02.0 (4716556)|VARIABLE_SCOPE_BEGIN|[283]|CARES_AppConstants.ALERT_CATEGORY_INFO|String|false|true
05:52:02.0 (4725936)|VARIABLE_SCOPE_BEGIN|[282]|CARES_AppConstants.ALERT_CATEGORY_WARNING|String|false|true
05:52:02.0 (4734925)|VARIABLE_SCOPE_BEGIN|[773]|CARES_AppConstants.ALG_ALLEGATION_PERPETRATOR|String|false|true
05:52:02.0 (4743884)|VARIABLE_SCOPE_BEGIN|[777]|CARES_AppConstants.ALG_ALLEGATION_SUBTYPE|String|false|true
05:52:02.0 (4756962)|VARIABLE_SCOPE_BEGIN|[774]|CARES_AppConstants.ALG_ALLEGATION_TYPE|String|false|true
05:52:02.0 (4766218)|VARIABLE_SCOPE_BEGIN|[772]|CARES_AppConstants.ALG_ALLEGATION_VICTIM|String|false|true
05:52:02.0 (4775520)|VARIABLE_SCOPE_BEGIN|[1945]|CARES_AppConstants.ALG_DATE_OCC|String|false|true
05:52:02.0 (4784849)|VARIABLE_SCOPE_BEGIN|[1947]|CARES_AppConstants.ALG_INC_END_DATE|String|false|true
05:52:02.0 (4797585)|VARIABLE_SCOPE_BEGIN|[1946]|CARES_AppConstants.ALG_INC_START_DATE|String|false|true
05:52:02.0 (4806767)|VARIABLE_SCOPE_BEGIN|[1948]|CARES_AppConstants.ALG_LOC_DESC|String|false|true
05:52:02.0 (4816699)|VARIABLE_SCOPE_BEGIN|[1949]|CARES_AppConstants.ALG_NUM_OCC|String|false|true
05:52:02.0 (4826345)|VARIABLE_SCOPE_BEGIN|[1950]|CARES_AppConstants.ALG_NUM_OCC_TYPE|String|false|true
05:52:02.0 (4839637)|VARIABLE_SCOPE_BEGIN|[782]|CARES_AppConstants.ALG_OTHER_EMOTIONAL_ABUSE|String|false|true
05:52:02.0 (4849395)|VARIABLE_SCOPE_BEGIN|[783]|CARES_AppConstants.ALG_OTHER_EXPLOITATION|String|false|true
05:52:02.0 (4858956)|VARIABLE_SCOPE_BEGIN|[784]|CARES_AppConstants.ALG_OTHER_SERIOUS_ENDANGERMENT|String|false|true
05:52:02.0 (4872120)|VARIABLE_SCOPE_BEGIN|[775]|CARES_AppConstants.ALG_SCREENING|String|false|true
05:52:02.0 (4881552)|VARIABLE_SCOPE_BEGIN|[1482]|CARES_AppConstants.ALIAS_STRING|String|false|true
05:52:02.0 (4891193)|VARIABLE_SCOPE_BEGIN|[1168]|CARES_AppConstants.ALL|String|false|true
05:52:02.0 (4900936)|VARIABLE_SCOPE_BEGIN|[1226]|CARES_AppConstants.ALLEGATION_CONCLUSION|String|false|true
05:52:02.0 (4914345)|VARIABLE_SCOPE_BEGIN|[1227]|CARES_AppConstants.ALLEGATION_CONCLUSION_RATIONALE|String|false|true
05:52:02.0 (4924145)|VARIABLE_SCOPE_BEGIN|[1086]|CARES_AppConstants.ALLEGATION_CONSLUSION|String|false|true
05:52:02.0 (4933820)|VARIABLE_SCOPE_BEGIN|[1087]|CARES_AppConstants.ALLEGATION_CONSLUSION_RATIONALE|String|false|true
05:52:02.0 (4943647)|VARIABLE_SCOPE_BEGIN|[613]|CARES_AppConstants.ALLEGATION_DISPOSTION_VALIDITY|String|false|true
05:52:02.0 (4957243)|VARIABLE_SCOPE_BEGIN|[2314]|CARES_AppConstants.ALLEGATION_EXISTS|String|false|true
05:52:02.0 (4967178)|VARIABLE_SCOPE_BEGIN|[1181]|CARES_AppConstants.ALLEGATION_INCONCLUSIVE_CONCLUSION|String|false|true
05:52:02.0 (4977289)|VARIABLE_SCOPE_BEGIN|[603]|CARES_AppConstants.ALLEGATION_SUBTYPE|String|false|true
05:52:02.0 (4987137)|VARIABLE_SCOPE_BEGIN|[1221]|CARES_AppConstants.ALLEGATION_SUBTYPE_NEW|String|false|true
05:52:02.0 (5001155)|VARIABLE_SCOPE_BEGIN|[1222]|CARES_AppConstants.ALLEGATION_SUBTYPE_NEW2|String|false|true
05:52:02.0 (5012154)|VARIABLE_SCOPE_BEGIN|[601]|CARES_AppConstants.ALLEGATION_TYPE|String|false|true
05:52:02.0 (5023000)|VARIABLE_SCOPE_BEGIN|[1219]|CARES_AppConstants.ALLEGATION_TYPE_NEW|String|false|true
05:52:02.0 (5036949)|VARIABLE_SCOPE_BEGIN|[1220]|CARES_AppConstants.ALLEGATION_TYPE_NEW2|String|false|true
05:52:02.0 (5047100)|VARIABLE_SCOPE_BEGIN|[794]|CARES_AppConstants.ALLEGATION_WRAPPER_CLASS|String|false|true
05:52:02.0 (5057671)|VARIABLE_SCOPE_BEGIN|[703]|CARES_AppConstants.ALLEGED_PERPETRATOR|String|false|true
05:52:02.0 (5068216)|VARIABLE_SCOPE_BEGIN|[770]|CARES_AppConstants.ALLEGED_RECORD|String|false|true
05:52:02.0 (5082476)|VARIABLE_SCOPE_BEGIN|[704]|CARES_AppConstants.ALLEGED_VICTIM|String|false|true
05:52:02.0 (5092918)|VARIABLE_SCOPE_BEGIN|[2487]|CARES_AppConstants.ALLERGY_RECORD_TYPE|String|false|true
05:52:02.0 (5103316)|VARIABLE_SCOPE_BEGIN|[2489]|CARES_AppConstants.ALLERGY_TYPE1|String|false|true
05:52:02.0 (5113216)|VARIABLE_SCOPE_BEGIN|[2490]|CARES_AppConstants.ALLERGY_TYPE2|String|false|true
05:52:02.0 (5126985)|VARIABLE_SCOPE_BEGIN|[2491]|CARES_AppConstants.ALLERGY_TYPE3|String|false|true
05:52:02.0 (5137739)|VARIABLE_SCOPE_BEGIN|[2492]|CARES_AppConstants.ALLERGY_TYPE4|String|false|true
05:52:02.0 (5148353)|VARIABLE_SCOPE_BEGIN|[2493]|CARES_AppConstants.ALLERGY_TYPE5|String|false|true
05:52:02.0 (5158234)|VARIABLE_SCOPE_BEGIN|[2494]|CARES_AppConstants.ALLERGY_TYPE6|String|false|true
05:52:02.0 (5172468)|VARIABLE_SCOPE_BEGIN|[2495]|CARES_AppConstants.ALLERGY_TYPE7|String|false|true
05:52:02.0 (5182882)|VARIABLE_SCOPE_BEGIN|[2496]|CARES_AppConstants.ALLERGY_TYPE8|String|false|true
05:52:02.0 (5193804)|VARIABLE_SCOPE_BEGIN|[2497]|CARES_AppConstants.ALLERGY_TYPE9|String|false|true
05:52:02.0 (5204570)|VARIABLE_SCOPE_BEGIN|[2196]|CARES_AppConstants.ALLRECORDS|String|false|true
05:52:02.0 (5218533)|VARIABLE_SCOPE_BEGIN|[363]|CARES_AppConstants.ALTERNATE_TELEPHONE|String|false|true
05:52:02.0 (5229868)|VARIABLE_SCOPE_BEGIN|[956]|CARES_AppConstants.ANCHOR_END_TAG|String|false|true
05:52:02.0 (5240580)|VARIABLE_SCOPE_BEGIN|[955]|CARES_AppConstants.ANCHOR_START_TAG|String|false|true
05:52:02.0 (5255355)|VARIABLE_SCOPE_BEGIN|[1042]|CARES_AppConstants.AND_STR|String|false|true
05:52:02.0 (5270298)|VARIABLE_SCOPE_BEGIN|[957]|CARES_AppConstants.ANGULAR_BRACKET_CLOSE|String|false|true
05:52:02.0 (5282289)|VARIABLE_SCOPE_BEGIN|[1163]|CARES_AppConstants.ANNUAL_INCOME|Decimal|false|true
05:52:02.0 (5294027)|VARIABLE_SCOPE_BEGIN|[1782]|CARES_AppConstants.ANONYMOUS|String|false|true
05:52:02.0 (5309213)|VARIABLE_SCOPE_BEGIN|[1773]|CARES_AppConstants.ANONYMOUS_REPORTER|String|false|true
05:52:02.0 (5320413)|VARIABLE_SCOPE_BEGIN|[2506]|CARES_AppConstants.ANXIETY|String|false|true
05:52:02.0 (5332053)|VARIABLE_SCOPE_BEGIN|[1462]|CARES_AppConstants.APEX|String|false|true
05:52:02.0 (5343503)|VARIABLE_SCOPE_BEGIN|[2231]|CARES_AppConstants.APEXRESPONSE|String|false|true
05:52:02.0 (5359287)|VARIABLE_SCOPE_BEGIN|[2417]|CARES_AppConstants.APEX_API_ERROR|String|false|true
05:52:02.0 (5370246)|VARIABLE_SCOPE_BEGIN|[949]|CARES_AppConstants.APOS|String|false|true
05:52:02.0 (5384300)|VARIABLE_SCOPE_BEGIN|[465]|CARES_AppConstants.APPLICATIONADDRESS|String|false|true
05:52:02.0 (5395905)|VARIABLE_SCOPE_BEGIN|[628]|CARES_AppConstants.APPLICATION_JSON|String|false|true
05:52:02.0 (5411949)|VARIABLE_SCOPE_BEGIN|[472]|CARES_AppConstants.APPLICATION_RECORD_LOCKED|Boolean|false|true
05:52:02.0 (5423604)|VARIABLE_SCOPE_BEGIN|[337]|CARES_AppConstants.APPLICATION_STATUS_DENIED|String|false|true
05:52:02.0 (5434843)|VARIABLE_SCOPE_BEGIN|[339]|CARES_AppConstants.APPLICATION_STATUS_DRAFT|String|false|true
05:52:02.0 (5446161)|VARIABLE_SCOPE_BEGIN|[335]|CARES_AppConstants.APPLICATION_STATUS_PENDING|String|false|true
05:52:02.0 (5461476)|VARIABLE_SCOPE_BEGIN|[340]|CARES_AppConstants.APPLICATION_STATUS_PROBATIONARY|String|false|true
05:52:02.0 (5473181)|VARIABLE_SCOPE_BEGIN|[338]|CARES_AppConstants.APPLICATION_STATUS_RECEIVED|String|false|true
05:52:02.0 (5485282)|VARIABLE_SCOPE_BEGIN|[336]|CARES_AppConstants.APPLICATION_STATUS_WITHDRAW|String|false|true
05:52:02.0 (5500985)|VARIABLE_SCOPE_BEGIN|[343]|CARES_AppConstants.APPLICATION_WITHDRAWAL_NARRATIVE|String|false|true
05:52:02.0 (5512462)|VARIABLE_SCOPE_BEGIN|[342]|CARES_AppConstants.APPLICATION_WITHDRAWAL_REASON|String|false|true
05:52:02.0 (5524176)|VARIABLE_SCOPE_BEGIN|[341]|CARES_AppConstants.APPLICATION_WITHDRAWAL_REQ_DATE|String|false|true
05:52:02.0 (5536362)|VARIABLE_SCOPE_BEGIN|[1056]|CARES_AppConstants.APPROVE|String|false|true
05:52:02.0 (5552163)|VARIABLE_SCOPE_BEGIN|[480]|CARES_AppConstants.APPROVED|String|false|true
05:52:02.0 (5564335)|VARIABLE_SCOPE_BEGIN|[1510]|CARES_AppConstants.APPROVED_RECORD_BLOCK|String|false|true
05:52:02.0 (5576947)|VARIABLE_SCOPE_BEGIN|[1217]|CARES_AppConstants.APPROVER_VALIDATION_MSG|String|false|true
05:52:02.0 (5588306)|VARIABLE_SCOPE_BEGIN|[375]|CARES_AppConstants.APP_CURRENT_STAGE_VALUE_REFERENCEPAGE|String|false|true
05:52:02.0 (5603504)|VARIABLE_SCOPE_BEGIN|[364]|CARES_AppConstants.APP_STATUS|String|false|true
05:52:02.0 (5632513)|VARIABLE_SCOPE_BEGIN|[1781]|CARES_AppConstants.APRSTATUS|String|false|true
05:52:02.0 (5644926)|VARIABLE_SCOPE_BEGIN|[396]|CARES_AppConstants.ARP_ANNUAL_INCOME|String|false|true
05:52:02.0 (5657456)|VARIABLE_SCOPE_BEGIN|[394]|CARES_AppConstants.ARP_EMPLOYER_NAME_ADDRESS|String|false|true
05:52:02.0 (5673896)|VARIABLE_SCOPE_BEGIN|[393]|CARES_AppConstants.ARP_HOME_PHONE_NUMBER|String|false|true
05:52:02.0 (5685749)|VARIABLE_SCOPE_BEGIN|[392]|CARES_AppConstants.ARP_MOBILE|String|false|true
05:52:02.0 (5697933)|VARIABLE_SCOPE_BEGIN|[397]|CARES_AppConstants.ARP_OCCUPATION|String|false|true
05:52:02.0 (5713715)|VARIABLE_SCOPE_BEGIN|[398]|CARES_AppConstants.ARP_PHYSICAL_ADDRESS|String|false|true
05:52:02.0 (5726364)|VARIABLE_SCOPE_BEGIN|[395]|CARES_AppConstants.ARP_WORK_PHONE_NUMBER|String|false|true
05:52:02.0 (5739044)|VARIABLE_SCOPE_BEGIN|[610]|CARES_AppConstants.ASSERTION_ERROR|String|false|true
05:52:02.0 (5751627)|VARIABLE_SCOPE_BEGIN|[611]|CARES_AppConstants.ASSERTION_FAILED|String|false|true
05:52:02.0 (5767485)|VARIABLE_SCOPE_BEGIN|[712]|CARES_AppConstants.ASSERT_MSG|String|false|true
05:52:02.0 (5779495)|VARIABLE_SCOPE_BEGIN|[407]|CARES_AppConstants.ASSESSMENT|String|false|true
05:52:02.0 (5792351)|VARIABLE_SCOPE_BEGIN|[408]|CARES_AppConstants.ASSESSMENTS|String|false|true
05:52:02.0 (5804715)|VARIABLE_SCOPE_BEGIN|[418]|CARES_AppConstants.ASSESSMENTTASKRECORDTYPENAME|String|false|true
05:52:02.0 (5821056)|VARIABLE_SCOPE_BEGIN|[432]|CARES_AppConstants.ASSESSMENT_COMPLETE|String|false|true
05:52:02.0 (5833355)|VARIABLE_SCOPE_BEGIN|[2354]|CARES_AppConstants.ASSESSMENT_OBJECT|String|false|true
05:52:02.0 (5847504)|VARIABLE_SCOPE_BEGIN|[723]|CARES_AppConstants.ASSIGNMENTCHANGENOTIFICATION|String|false|true
05:52:02.0 (5860480)|VARIABLE_SCOPE_BEGIN|[1096]|CARES_AppConstants.ASSIGNMENT_DESK|String|false|true
05:52:02.0 (5876565)|VARIABLE_SCOPE_BEGIN|[1093]|CARES_AppConstants.ASSIGNMENT_DSK_ERROR|String|false|true
05:52:02.0 (5889170)|VARIABLE_SCOPE_BEGIN|[1069]|CARES_AppConstants.ASSIGNMENT_TYPE|String|false|true
05:52:02.0 (5902118)|VARIABLE_SCOPE_BEGIN|[1216]|CARES_AppConstants.ASSIGNMENT_VALIDATION_MSG|String|false|true
05:52:02.0 (5914546)|VARIABLE_SCOPE_BEGIN|[1198]|CARES_AppConstants.ASSOCIATED|String|false|true
05:52:02.0 (5932179)|VARIABLE_SCOPE_BEGIN|[406]|CARES_AppConstants.ASSOCIATED_INVESTIGATION|String|false|true
05:52:02.0 (5944959)|VARIABLE_SCOPE_BEGIN|[2498]|CARES_AppConstants.ASTHMA|String|false|true
05:52:02.0 (5958124)|VARIABLE_SCOPE_BEGIN|[2298]|CARES_AppConstants.ATTENDED_LATE_LEFT_EARLY_PICKLIST_VALUE|String|false|true
05:52:02.0 (5975307)|VARIABLE_SCOPE_BEGIN|[2132]|CARES_AppConstants.ATTENDED_ON_TIME_VALUE|String|false|true
05:52:02.0 (5988900)|VARIABLE_SCOPE_BEGIN|[1700]|CARES_AppConstants.ATTENDEES_MODULE_MILESTONE_9|String|false|true
05:52:02.0 (6001846)|VARIABLE_SCOPE_BEGIN|[1699]|CARES_AppConstants.ATTENDEES_OBJECT|String|false|true
05:52:02.0 (6015333)|VARIABLE_SCOPE_BEGIN|[1702]|CARES_AppConstants.ATTENDEES_STATUS_PICKLIST_VALUE_ATTEND|String|false|true
05:52:02.0 (6032664)|VARIABLE_SCOPE_BEGIN|[1701]|CARES_AppConstants.ATTENDEES_STATUS_PICKLIST_VALUE_PLANNED|String|false|true
05:52:02.0 (6046312)|VARIABLE_SCOPE_BEGIN|[2077]|CARES_AppConstants.ATTORNEY_CLIENT_LOG|String|false|true
05:52:02.0 (6059072)|VARIABLE_SCOPE_BEGIN|[1202]|CARES_AppConstants.AUNCLE|String|false|true
05:52:02.0 (6072056)|VARIABLE_SCOPE_BEGIN|[1203]|CARES_AppConstants.AUNT|String|false|true
05:52:02.0 (6089319)|VARIABLE_SCOPE_BEGIN|[1376]|CARES_AppConstants.AUNT_PATERNAL|String|false|true
05:52:02.0 (6102492)|VARIABLE_SCOPE_BEGIN|[2007]|CARES_AppConstants.AUTOMATIC_TRANSACTION_SENT|String|false|true
05:52:02.0 (6116709)|VARIABLE_SCOPE_BEGIN|[1751]|CARES_AppConstants.AVAILABLE_BEDS_OMNI|String|false|true
05:52:02.0 (6129965)|VARIABLE_SCOPE_BEGIN|[1730]|CARES_AppConstants.AVAILABLE_BEDS_SOLR|String|false|true
05:52:02.0 (6147192)|VARIABLE_SCOPE_BEGIN|[1347]|CARES_AppConstants.AVAILABLE_CAPACITY|String|false|true
05:52:02.0 (6160363)|VARIABLE_SCOPE_BEGIN|[851]|CARES_AppConstants.BABY_MEDICAL_SCREENING_COMPLETED|String|false|true
05:52:02.0 (6173819)|VARIABLE_SCOPE_BEGIN|[405]|CARES_AppConstants.BACKGROUND_CHECK|String|false|true
05:52:02.0 (6190919)|VARIABLE_SCOPE_BEGIN|[440]|CARES_AppConstants.BACKGROUND_CHECK_ID|String|false|true
05:52:02.0 (6204338)|VARIABLE_SCOPE_BEGIN|[439]|CARES_AppConstants.BACKGROUND_CHECK_RESULT|String|false|true
05:52:02.0 (6217947)|VARIABLE_SCOPE_BEGIN|[951]|CARES_AppConstants.BACKS1|String|false|true
05:52:02.0 (6231791)|VARIABLE_SCOPE_BEGIN|[2323]|CARES_AppConstants.BANNER_MESSAGE|String|false|true
05:52:02.0 (6249094)|VARIABLE_SCOPE_BEGIN|[900]|CARES_AppConstants.BEST_TIME_TO_CALLBACK|String|false|true
05:52:02.0 (6262883)|VARIABLE_SCOPE_BEGIN|[631]|CARES_AppConstants.BINDING_NAME_CORRESPONDENCE_NAME|String|false|true
05:52:02.0 (6280246)|VARIABLE_SCOPE_BEGIN|[1017]|CARES_AppConstants.BINDING_NAME_DOCUMENT_TYPE|String|false|true
05:52:02.0 (6293724)|VARIABLE_SCOPE_BEGIN|[1019]|CARES_AppConstants.BINDING_NAME_FOLIO_NAME|String|false|true
05:52:02.0 (6311732)|VARIABLE_SCOPE_BEGIN|[1020]|CARES_AppConstants.BINDING_NAME_SCREENING_NAME|String|false|true
05:52:02.0 (6325152)|VARIABLE_SCOPE_BEGIN|[510]|CARES_AppConstants.BLANK_SERVICE|String|false|true
05:52:02.0 (6338355)|VARIABLE_SCOPE_BEGIN|[760]|CARES_AppConstants.BLANK_VALUE|String|false|true
05:52:02.0 (6352403)|VARIABLE_SCOPE_BEGIN|[987]|CARES_AppConstants.BODY_KEY|String|false|true
05:52:02.0 (6381048)|VARIABLE_SCOPE_BEGIN|[924]|CARES_AppConstants.BOOL_TRUE|Boolean|false|true
