61.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DB,FINEST;NBA,INFO;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,FINER
00:39:12.0 (51673172)|VARIABLE_SCOPE_BEGIN|[365]|CARES_AppConstants.ADD_NAME|String|false|true
00:39:12.0 (51678604)|VARIABLE_SCOPE_BEGIN|[1000]|CARES_AppConstants.ADD_SECONDARY_WORKER|String|false|true
00:39:12.0 (51684114)|VARIABLE_SCOPE_BEGIN|[368]|CARES_AppConstants.ADD_STATE|String|false|true
00:39:12.0 (51689677)|VARIABLE_SCOPE_BEGIN|[366]|CARES_AppConstants.ADD_STREETNAME|String|false|true
00:39:12.0 (51695459)|VARIABLE_SCOPE_BEGIN|[842]|CARES_AppConstants.ADD_STREET_NAME|String|false|true
00:39:12.0 (51701150)|VARIABLE_SCOPE_BEGIN|[841]|CARES_AppConstants.ADD_STREET_NUMBER|String|false|true
00:39:12.0 (51707159)|VARIABLE_SCOPE_BEGIN|[1195]|CARES_AppConstants.ADD_TYPE|String|false|true
00:39:12.0 (51731501)|VARIABLE_SCOPE_BEGIN|[840]|CARES_AppConstants.ADD_UNIT_NUMBER|String|false|true
00:39:12.0 (51737518)|VARIABLE_SCOPE_BEGIN|[839]|CARES_AppConstants.ADD_UNIT_TYPE|String|false|true
00:39:12.0 (51743398)|VARIABLE_SCOPE_BEGIN|[369]|CARES_AppConstants.ADD_ZIPCODE|String|false|true
00:39:12.0 (51750042)|VARIABLE_SCOPE_BEGIN|[435]|CARES_AppConstants.ADMINISTRATIVE_HEARING|String|false|true
00:39:12.0 (51756724)|VARIABLE_SCOPE_BEGIN|[479]|CARES_AppConstants.ADMIN_NOTES|String|false|true
00:39:12.0 (51763156)|VARIABLE_SCOPE_BEGIN|[518]|CARES_AppConstants.ADM_IDM_MODULE|String|false|true
00:39:12.0 (51769791)|VARIABLE_SCOPE_BEGIN|[1762]|CARES_AppConstants.AFDC_ALLOWABLE_OMNI|String|false|true
00:39:12.0 (51776511)|VARIABLE_SCOPE_BEGIN|[1739]|CARES_AppConstants.AFDC_ALLOWABLE_SOLR|String|false|true
00:39:12.0 (51783608)|VARIABLE_SCOPE_BEGIN|[1384]|CARES_AppConstants.AGENCY_VALUE|String|false|true
00:39:12.0 (51790475)|VARIABLE_SCOPE_BEGIN|[1750]|CARES_AppConstants.AGE_RANGE_SOLR|String|false|true
00:39:12.0 (51797180)|VARIABLE_SCOPE_BEGIN|[2254]|CARES_AppConstants.AIDCODE_OBJECT|String|false|true
00:39:12.0 (51805677)|VARIABLE_SCOPE_BEGIN|[304]|CARES_AppConstants.AKA_OBJECT_API_NAME|String|false|true
00:39:12.0 (51812521)|VARIABLE_SCOPE_BEGIN|[1899]|CARES_AppConstants.ALAMEDA_COUNTY_VALUE|String|false|true
00:39:12.0 (51819377)|VARIABLE_SCOPE_BEGIN|[2504]|CARES_AppConstants.ALCOHOL|String|false|true
00:39:12.0 (51826544)|VARIABLE_SCOPE_BEGIN|[2486]|CARES_AppConstants.ALCOHOL_SUBSTANCE_RECORD_TYPE|String|false|true
00:39:12.0 (51833364)|VARIABLE_SCOPE_BEGIN|[283]|CARES_AppConstants.ALERT_CATEGORY_INFO|String|false|true
00:39:12.0 (51840515)|VARIABLE_SCOPE_BEGIN|[282]|CARES_AppConstants.ALERT_CATEGORY_WARNING|String|false|true
00:39:12.0 (51847904)|VARIABLE_SCOPE_BEGIN|[773]|CARES_AppConstants.ALG_ALLEGATION_PERPETRATOR|String|false|true
00:39:12.0 (51854871)|VARIABLE_SCOPE_BEGIN|[777]|CARES_AppConstants.ALG_ALLEGATION_SUBTYPE|String|false|true
00:39:12.0 (51861985)|VARIABLE_SCOPE_BEGIN|[774]|CARES_AppConstants.ALG_ALLEGATION_TYPE|String|false|true
00:39:12.0 (51869303)|VARIABLE_SCOPE_BEGIN|[772]|CARES_AppConstants.ALG_ALLEGATION_VICTIM|String|false|true
00:39:12.0 (51876638)|VARIABLE_SCOPE_BEGIN|[1945]|CARES_AppConstants.ALG_DATE_OCC|String|false|true
00:39:12.0 (51883531)|VARIABLE_SCOPE_BEGIN|[1947]|CARES_AppConstants.ALG_INC_END_DATE|String|false|true
00:39:12.0 (51890645)|VARIABLE_SCOPE_BEGIN|[1946]|CARES_AppConstants.ALG_INC_START_DATE|String|false|true
00:39:12.0 (51897649)|VARIABLE_SCOPE_BEGIN|[1948]|CARES_AppConstants.ALG_LOC_DESC|String|false|true
00:39:12.0 (51904909)|VARIABLE_SCOPE_BEGIN|[1949]|CARES_AppConstants.ALG_NUM_OCC|String|false|true
00:39:12.0 (51912054)|VARIABLE_SCOPE_BEGIN|[1950]|CARES_AppConstants.ALG_NUM_OCC_TYPE|String|false|true
00:39:12.0 (51919393)|VARIABLE_SCOPE_BEGIN|[782]|CARES_AppConstants.ALG_OTHER_EMOTIONAL_ABUSE|String|false|true
00:39:12.0 (51926758)|VARIABLE_SCOPE_BEGIN|[783]|CARES_AppConstants.ALG_OTHER_EXPLOITATION|String|false|true
00:39:12.0 (51934072)|VARIABLE_SCOPE_BEGIN|[784]|CARES_AppConstants.ALG_OTHER_SERIOUS_ENDANGERMENT|String|false|true
00:39:12.0 (51941519)|VARIABLE_SCOPE_BEGIN|[775]|CARES_AppConstants.ALG_SCREENING|String|false|true
00:39:12.0 (51948834)|VARIABLE_SCOPE_BEGIN|[1482]|CARES_AppConstants.ALIAS_STRING|String|false|true
00:39:12.0 (51955902)|VARIABLE_SCOPE_BEGIN|[1168]|CARES_AppConstants.ALL|String|false|true
00:39:12.0 (51963468)|VARIABLE_SCOPE_BEGIN|[1226]|CARES_AppConstants.ALLEGATION_CONCLUSION|String|false|true
00:39:12.0 (51970812)|VARIABLE_SCOPE_BEGIN|[1227]|CARES_AppConstants.ALLEGATION_CONCLUSION_RATIONALE|String|false|true
00:39:12.0 (51978163)|VARIABLE_SCOPE_BEGIN|[1086]|CARES_AppConstants.ALLEGATION_CONSLUSION|String|false|true
00:39:12.0 (51985506)|VARIABLE_SCOPE_BEGIN|[1087]|CARES_AppConstants.ALLEGATION_CONSLUSION_RATIONALE|String|false|true
00:39:12.0 (51992909)|VARIABLE_SCOPE_BEGIN|[613]|CARES_AppConstants.ALLEGATION_DISPOSTION_VALIDITY|String|false|true
00:39:12.0 (52000448)|VARIABLE_SCOPE_BEGIN|[2314]|CARES_AppConstants.ALLEGATION_EXISTS|String|false|true
00:39:12.0 (52008605)|VARIABLE_SCOPE_BEGIN|[1181]|CARES_AppConstants.ALLEGATION_INCONCLUSIVE_CONCLUSION|String|false|true
00:39:12.0 (52016654)|VARIABLE_SCOPE_BEGIN|[603]|CARES_AppConstants.ALLEGATION_SUBTYPE|String|false|true
00:39:12.0 (52024660)|VARIABLE_SCOPE_BEGIN|[1221]|CARES_AppConstants.ALLEGATION_SUBTYPE_NEW|String|false|true
00:39:12.0 (52032691)|VARIABLE_SCOPE_BEGIN|[1222]|CARES_AppConstants.ALLEGATION_SUBTYPE_NEW2|String|false|true
00:39:12.0 (52041024)|VARIABLE_SCOPE_BEGIN|[601]|CARES_AppConstants.ALLEGATION_TYPE|String|false|true
00:39:12.0 (52048931)|VARIABLE_SCOPE_BEGIN|[1219]|CARES_AppConstants.ALLEGATION_TYPE_NEW|String|false|true
00:39:12.0 (52057528)|VARIABLE_SCOPE_BEGIN|[1220]|CARES_AppConstants.ALLEGATION_TYPE_NEW2|String|false|true
00:39:12.0 (52065444)|VARIABLE_SCOPE_BEGIN|[794]|CARES_AppConstants.ALLEGATION_WRAPPER_CLASS|String|false|true
00:39:12.0 (52073391)|VARIABLE_SCOPE_BEGIN|[703]|CARES_AppConstants.ALLEGED_PERPETRATOR|String|false|true
00:39:12.0 (52081357)|VARIABLE_SCOPE_BEGIN|[770]|CARES_AppConstants.ALLEGED_RECORD|String|false|true
00:39:12.0 (52088971)|VARIABLE_SCOPE_BEGIN|[704]|CARES_AppConstants.ALLEGED_VICTIM|String|false|true
00:39:12.0 (52096543)|VARIABLE_SCOPE_BEGIN|[2487]|CARES_AppConstants.ALLERGY_RECORD_TYPE|String|false|true
00:39:12.0 (52104679)|VARIABLE_SCOPE_BEGIN|[2489]|CARES_AppConstants.ALLERGY_TYPE1|String|false|true
00:39:12.0 (52112588)|VARIABLE_SCOPE_BEGIN|[2490]|CARES_AppConstants.ALLERGY_TYPE2|String|false|true
00:39:12.0 (52120657)|VARIABLE_SCOPE_BEGIN|[2491]|CARES_AppConstants.ALLERGY_TYPE3|String|false|true
00:39:12.0 (52128327)|VARIABLE_SCOPE_BEGIN|[2492]|CARES_AppConstants.ALLERGY_TYPE4|String|false|true
00:39:12.0 (52136211)|VARIABLE_SCOPE_BEGIN|[2493]|CARES_AppConstants.ALLERGY_TYPE5|String|false|true
00:39:12.0 (52144327)|VARIABLE_SCOPE_BEGIN|[2494]|CARES_AppConstants.ALLERGY_TYPE6|String|false|true
00:39:12.0 (52152393)|VARIABLE_SCOPE_BEGIN|[2495]|CARES_AppConstants.ALLERGY_TYPE7|String|false|true
00:39:12.0 (52160398)|VARIABLE_SCOPE_BEGIN|[2496]|CARES_AppConstants.ALLERGY_TYPE8|String|false|true
00:39:12.0 (52168196)|VARIABLE_SCOPE_BEGIN|[2497]|CARES_AppConstants.ALLERGY_TYPE9|String|false|true
00:39:12.0 (52176026)|VARIABLE_SCOPE_BEGIN|[2196]|CARES_AppConstants.ALLRECORDS|String|false|true
00:39:12.0 (52184314)|VARIABLE_SCOPE_BEGIN|[363]|CARES_AppConstants.ALTERNATE_TELEPHONE|String|false|true
00:39:12.0 (52192312)|VARIABLE_SCOPE_BEGIN|[956]|CARES_AppConstants.ANCHOR_END_TAG|String|false|true
00:39:12.0 (52200339)|VARIABLE_SCOPE_BEGIN|[955]|CARES_AppConstants.ANCHOR_START_TAG|String|false|true
00:39:12.0 (52208454)|VARIABLE_SCOPE_BEGIN|[1042]|CARES_AppConstants.AND_STR|String|false|true
00:39:12.0 (52217113)|VARIABLE_SCOPE_BEGIN|[957]|CARES_AppConstants.ANGULAR_BRACKET_CLOSE|String|false|true
00:39:12.0 (52230486)|VARIABLE_SCOPE_BEGIN|[1163]|CARES_AppConstants.ANNUAL_INCOME|Decimal|false|true
00:39:12.0 (52239771)|VARIABLE_SCOPE_BEGIN|[1782]|CARES_AppConstants.ANONYMOUS|String|false|true
00:39:12.0 (52248230)|VARIABLE_SCOPE_BEGIN|[1773]|CARES_AppConstants.ANONYMOUS_REPORTER|String|false|true
00:39:12.0 (52256977)|VARIABLE_SCOPE_BEGIN|[2506]|CARES_AppConstants.ANXIETY|String|false|true
00:39:12.0 (52265384)|VARIABLE_SCOPE_BEGIN|[1462]|CARES_AppConstants.APEX|String|false|true
00:39:12.0 (52274041)|VARIABLE_SCOPE_BEGIN|[2231]|CARES_AppConstants.APEXRESPONSE|String|false|true
00:39:12.0 (52282324)|VARIABLE_SCOPE_BEGIN|[2417]|CARES_AppConstants.APEX_API_ERROR|String|false|true
00:39:12.0 (52290946)|VARIABLE_SCOPE_BEGIN|[949]|CARES_AppConstants.APOS|String|false|true
00:39:12.0 (52301312)|VARIABLE_SCOPE_BEGIN|[465]|CARES_AppConstants.APPLICATIONADDRESS|String|false|true
00:39:12.0 (52309983)|VARIABLE_SCOPE_BEGIN|[628]|CARES_AppConstants.APPLICATION_JSON|String|false|true
00:39:12.0 (52319017)|VARIABLE_SCOPE_BEGIN|[472]|CARES_AppConstants.APPLICATION_RECORD_LOCKED|Boolean|false|true
00:39:12.0 (52328462)|VARIABLE_SCOPE_BEGIN|[337]|CARES_AppConstants.APPLICATION_STATUS_DENIED|String|false|true
00:39:12.0 (52337477)|VARIABLE_SCOPE_BEGIN|[339]|CARES_AppConstants.APPLICATION_STATUS_DRAFT|String|false|true
00:39:12.0 (52346074)|VARIABLE_SCOPE_BEGIN|[335]|CARES_AppConstants.APPLICATION_STATUS_PENDING|String|false|true
00:39:12.0 (52354688)|VARIABLE_SCOPE_BEGIN|[340]|CARES_AppConstants.APPLICATION_STATUS_PROBATIONARY|String|false|true
00:39:12.0 (52363222)|VARIABLE_SCOPE_BEGIN|[338]|CARES_AppConstants.APPLICATION_STATUS_RECEIVED|String|false|true
00:39:12.0 (52371904)|VARIABLE_SCOPE_BEGIN|[336]|CARES_AppConstants.APPLICATION_STATUS_WITHDRAW|String|false|true
00:39:12.0 (52380274)|VARIABLE_SCOPE_BEGIN|[343]|CARES_AppConstants.APPLICATION_WITHDRAWAL_NARRATIVE|String|false|true
00:39:12.0 (52389086)|VARIABLE_SCOPE_BEGIN|[342]|CARES_AppConstants.APPLICATION_WITHDRAWAL_REASON|String|false|true
00:39:12.0 (52398053)|VARIABLE_SCOPE_BEGIN|[341]|CARES_AppConstants.APPLICATION_WITHDRAWAL_REQ_DATE|String|false|true
00:39:12.0 (52406950)|VARIABLE_SCOPE_BEGIN|[1056]|CARES_AppConstants.APPROVE|String|false|true
00:39:12.0 (52416077)|VARIABLE_SCOPE_BEGIN|[480]|CARES_AppConstants.APPROVED|String|false|true
00:39:12.0 (52425068)|VARIABLE_SCOPE_BEGIN|[1510]|CARES_AppConstants.APPROVED_RECORD_BLOCK|String|false|true
00:39:12.0 (52434217)|VARIABLE_SCOPE_BEGIN|[1217]|CARES_AppConstants.APPROVER_VALIDATION_MSG|String|false|true
00:39:12.0 (52442467)|VARIABLE_SCOPE_BEGIN|[375]|CARES_AppConstants.APP_CURRENT_STAGE_VALUE_REFERENCEPAGE|String|false|true
00:39:12.0 (52451048)|VARIABLE_SCOPE_BEGIN|[364]|CARES_AppConstants.APP_STATUS|String|false|true
00:39:12.0 (52460220)|VARIABLE_SCOPE_BEGIN|[1781]|CARES_AppConstants.APRSTATUS|String|false|true
00:39:12.0 (52469268)|VARIABLE_SCOPE_BEGIN|[396]|CARES_AppConstants.ARP_ANNUAL_INCOME|String|false|true
00:39:12.0 (52478904)|VARIABLE_SCOPE_BEGIN|[394]|CARES_AppConstants.ARP_EMPLOYER_NAME_ADDRESS|String|false|true
00:39:12.0 (52487877)|VARIABLE_SCOPE_BEGIN|[393]|CARES_AppConstants.ARP_HOME_PHONE_NUMBER|String|false|true
00:39:12.0 (52497087)|VARIABLE_SCOPE_BEGIN|[392]|CARES_AppConstants.ARP_MOBILE|String|false|true
00:39:12.0 (52506174)|VARIABLE_SCOPE_BEGIN|[397]|CARES_AppConstants.ARP_OCCUPATION|String|false|true
00:39:12.0 (52515334)|VARIABLE_SCOPE_BEGIN|[398]|CARES_AppConstants.ARP_PHYSICAL_ADDRESS|String|false|true
00:39:12.0 (52524658)|VARIABLE_SCOPE_BEGIN|[395]|CARES_AppConstants.ARP_WORK_PHONE_NUMBER|String|false|true
00:39:12.0 (52533963)|VARIABLE_SCOPE_BEGIN|[610]|CARES_AppConstants.ASSERTION_ERROR|String|false|true
00:39:12.0 (52543438)|VARIABLE_SCOPE_BEGIN|[611]|CARES_AppConstants.ASSERTION_FAILED|String|false|true
00:39:12.0 (52552649)|VARIABLE_SCOPE_BEGIN|[712]|CARES_AppConstants.ASSERT_MSG|String|false|true
00:39:12.0 (52561737)|VARIABLE_SCOPE_BEGIN|[407]|CARES_AppConstants.ASSESSMENT|String|false|true
00:39:12.0 (52571417)|VARIABLE_SCOPE_BEGIN|[408]|CARES_AppConstants.ASSESSMENTS|String|false|true
00:39:12.0 (52580850)|VARIABLE_SCOPE_BEGIN|[418]|CARES_AppConstants.ASSESSMENTTASKRECORDTYPENAME|String|false|true
00:39:12.0 (52590441)|VARIABLE_SCOPE_BEGIN|[432]|CARES_AppConstants.ASSESSMENT_COMPLETE|String|false|true
00:39:12.0 (52599788)|VARIABLE_SCOPE_BEGIN|[2354]|CARES_AppConstants.ASSESSMENT_OBJECT|String|false|true
00:39:12.0 (52610125)|VARIABLE_SCOPE_BEGIN|[723]|CARES_AppConstants.ASSIGNMENTCHANGENOTIFICATION|String|false|true
00:39:12.0 (52619463)|VARIABLE_SCOPE_BEGIN|[1096]|CARES_AppConstants.ASSIGNMENT_DESK|String|false|true
00:39:12.0 (52628784)|VARIABLE_SCOPE_BEGIN|[1093]|CARES_AppConstants.ASSIGNMENT_DSK_ERROR|String|false|true
00:39:12.0 (52638007)|VARIABLE_SCOPE_BEGIN|[1069]|CARES_AppConstants.ASSIGNMENT_TYPE|String|false|true
00:39:12.0 (52647350)|VARIABLE_SCOPE_BEGIN|[1216]|CARES_AppConstants.ASSIGNMENT_VALIDATION_MSG|String|false|true
00:39:12.0 (52657092)|VARIABLE_SCOPE_BEGIN|[1198]|CARES_AppConstants.ASSOCIATED|String|false|true
00:39:12.0 (52666738)|VARIABLE_SCOPE_BEGIN|[406]|CARES_AppConstants.ASSOCIATED_INVESTIGATION|String|false|true
00:39:12.0 (52676239)|VARIABLE_SCOPE_BEGIN|[2498]|CARES_AppConstants.ASTHMA|String|false|true
00:39:12.0 (52686049)|VARIABLE_SCOPE_BEGIN|[2298]|CARES_AppConstants.ATTENDED_LATE_LEFT_EARLY_PICKLIST_VALUE|String|false|true
00:39:12.0 (52696085)|VARIABLE_SCOPE_BEGIN|[2132]|CARES_AppConstants.ATTENDED_ON_TIME_VALUE|String|false|true
00:39:12.0 (52706150)|VARIABLE_SCOPE_BEGIN|[1700]|CARES_AppConstants.ATTENDEES_MODULE_MILESTONE_9|String|false|true
00:39:12.0 (52731430)|VARIABLE_SCOPE_BEGIN|[1699]|CARES_AppConstants.ATTENDEES_OBJECT|String|false|true
00:39:12.0 (52741508)|VARIABLE_SCOPE_BEGIN|[1702]|CARES_AppConstants.ATTENDEES_STATUS_PICKLIST_VALUE_ATTEND|String|false|true
00:39:12.0 (52751461)|VARIABLE_SCOPE_BEGIN|[1701]|CARES_AppConstants.ATTENDEES_STATUS_PICKLIST_VALUE_PLANNED|String|false|true
00:39:12.0 (52761703)|VARIABLE_SCOPE_BEGIN|[2077]|CARES_AppConstants.ATTORNEY_CLIENT_LOG|String|false|true
00:39:12.0 (52771766)|VARIABLE_SCOPE_BEGIN|[1202]|CARES_AppConstants.AUNCLE|String|false|true
00:39:12.0 (52781937)|VARIABLE_SCOPE_BEGIN|[1203]|CARES_AppConstants.AUNT|String|false|true
00:39:12.0 (52792134)|VARIABLE_SCOPE_BEGIN|[1376]|CARES_AppConstants.AUNT_PATERNAL|String|false|true
00:39:12.0 (52802007)|VARIABLE_SCOPE_BEGIN|[2007]|CARES_AppConstants.AUTOMATIC_TRANSACTION_SENT|String|false|true
00:39:12.0 (52812088)|VARIABLE_SCOPE_BEGIN|[1751]|CARES_AppConstants.AVAILABLE_BEDS_OMNI|String|false|true
00:39:12.0 (52822028)|VARIABLE_SCOPE_BEGIN|[1730]|CARES_AppConstants.AVAILABLE_BEDS_SOLR|String|false|true
00:39:12.0 (52834614)|VARIABLE_SCOPE_BEGIN|[1347]|CARES_AppConstants.AVAILABLE_CAPACITY|String|false|true
00:39:12.0 (52844909)|VARIABLE_SCOPE_BEGIN|[851]|CARES_AppConstants.BABY_MEDICAL_SCREENING_COMPLETED|String|false|true
00:39:12.0 (52855344)|VARIABLE_SCOPE_BEGIN|[405]|CARES_AppConstants.BACKGROUND_CHECK|String|false|true
00:39:12.0 (52865565)|VARIABLE_SCOPE_BEGIN|[440]|CARES_AppConstants.BACKGROUND_CHECK_ID|String|false|true
00:39:12.0 (52876436)|VARIABLE_SCOPE_BEGIN|[439]|CARES_AppConstants.BACKGROUND_CHECK_RESULT|String|false|true
00:39:12.0 (52886616)|VARIABLE_SCOPE_BEGIN|[951]|CARES_AppConstants.BACKS1|String|false|true
